"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
0.667592545611394,2.87819091536981,0.00540750605242464,0.0467187388745744,"13564",NA,NA
-4.16008716475946,2.19840312089011,5.67762423434935e-17,2.90063513661537e-14,"13649",NA,NA
-1.42913975249387,4.58810037508202,3.92089700629052e-07,1.35959912782231e-05,"13666",NA,NA
-1.63598024645252,0.853341996235666,2.47257166966896e-05,0.000558942209298814,"13693",NA,NA
-1.36745009354849,-1.95521391478146,0.00130300792331644,0.0159620586608181,"13712",NA,NA
0.852227231302295,9.18970451692745,0.0020034542886207,0.0220696761357881,"13728",NA,NA
1.24459714577918,5.39760139620566,2.15570232961872e-05,0.000497292491348569,"13743",NA,NA
-1.38483680609049,-1.91267510708862,0.000488889408479298,0.00717311848144706,"13768",NA,NA
-1.22728676516191,-2.64095930368614,0.00235915267355186,0.0250285740493572,"13769",NA,NA
-1.35638107572245,3.32842644240515,1.85182213773922e-05,0.000433096550830364,"13770",NA,NA
1.01070347593711,4.63025644099001,0.00527687892488449,0.0459876597737279,"13790",NA,NA
-0.818956459701747,1.10279442213087,0.00401327612003527,0.0374788890110989,"13917",NA,NA
-2.98731472147033,-1.54123490258943,1.79658328907537e-05,0.000423191084178718,"13929",NA,NA
-2.35834718781281,-2.17220593540042,0.000104102568063091,0.00197305691654613,"13937",NA,NA
-1.48963834231649,2.30471803967499,0.00220779488080193,0.0237331580097845,"13940",NA,NA
-0.782714567259699,0.929106253693337,0.00374042110676422,0.035562823661522,"13992",NA,NA
1.42137266228435,-1.2958418208186,0.00459344940965695,0.0413968647306991,"14028",NA,NA
1.36678047356501,1.45662194376482,0.00191190155801819,0.0213683115307916,"14040",NA,NA
2.37723168496842,4.67200174959116,0.000609295199950108,0.00861481958601044,"14081",NA,NA
-0.520546722072621,4.6853920636586,0.00177447506917731,0.0201979880651883,"14132",NA,NA
-1.16299334543071,-0.394803800158524,0.00254566765549113,0.026505842119448,"14136",NA,NA
-0.588572449918426,5.08841794639856,0.00242006527373719,0.0254866242066963,"14158",NA,NA
0.517889153499368,5.87079536150154,0.00211472508377026,0.0229652950759935,"14223",NA,NA
1.22722373015312,3.45652658423177,8.91765213433563e-05,0.00172283044175106,"14267",NA,NA
1.00852652626709,0.400971092399309,0.00331810375825578,0.0323097015681069,"14270",NA,NA
-2.20456640915882,-2.31479693351956,9.04808318380628e-05,0.00174178658507265,"14291",NA,NA
-3.06637635791159,2.46768034550742,2.1169421387462e-17,1.31106643497238e-14,"14293",NA,NA
0.583994855227865,6.9595212070582,0.00413839986016632,0.0383172826360143,"14302",NA,NA
-1.43347812709129,-1.06038662519186,0.00196465239669972,0.0217569164740494,"14306",NA,NA
-1.120922516865,4.54122957245252,1.57452768421423e-06,4.80084767375133e-05,"14309",NA,NA
-1.70456093462997,-0.325722014509612,6.936911605087e-06,0.000182054335389213,"14313",NA,NA
-3.30514041793222,-0.926216718624767,0.000620234698316894,0.00871588980092016,"14358",NA,NA
0.356998349710551,6.44719294722011,0.00564777526939634,0.0481254089857012,"14402",NA,NA
-1.43413425542968,3.89955749528885,2.03845344258735e-06,6.07834560896019e-05,"14430",NA,NA
-0.962151640408459,0.773453445104102,0.00532099044774657,0.0461969676713345,"14431",NA,NA
0.4391285172945,4.85923912563715,0.00315832199519592,0.0310829720331996,"14462",NA,NA
-0.602856550689073,4.71003714974948,5.43760826190312e-05,0.00112318610908493,"14489",NA,NA
0.868680784429845,5.63879478104151,0.000686689637801152,0.00948654163757376,"14501",NA,NA
-1.71411149658229,-1.19624942107816,0.00311228993320007,0.0307968516428466,"14530",NA,NA
